base,freeze,n_common,absdev_base,absdev_freeze,brier_base,brier_freeze,edge_base,edge_freeze,beta_fc_base,beta_fc_freeze,beta_ref_base,beta_ref_freeze,d_absdev,d_brier,d_edge,d_beta_fc,d_beta_ref
Anthropic.claude_3p5_sonnet_scratchpad_with_news,Anthropic.claude_3p5_sonnet_scratchpad_with_news_with_freeze_values,256,0.20927708649435628,0.1368456850269841,0.16512857142857143,0.13805416436861773,-0.09568787442237289,-0.0686134673624192,-0.08011768712347157,-0.25788739786828285,1.3590760769404635,1.5061119733042148,-0.07243140146737218,-0.027074407059953703,0.02707440705995369,-0.1777697107448113,0.14703589636375125
Anthropic.claude_3p5_sonnet_zero_shot,Anthropic.claude_3p5_sonnet_zero_shot_with_freeze_values,256,0.21345126641040565,0.09818202971481481,0.17348199985890653,0.1329305236915848,-0.10404130285270799,-0.06348982668538627,-0.021054214491277885,-0.5154950421226548,1.3380355895606544,1.8064423445762827,-0.11526923669559085,-0.040551476167321715,0.040551476167321715,-0.494440827631377,0.46840675501562834
Google.gemini_1p5_flash_scratchpad,Google.gemini_1p5_flash_scratchpad_with_freeze_values,256,0.24648754697054673,0.17950803546507937,0.18868148500881834,0.167438360670194,-0.11924078800261984,-0.09799766366399548,-0.5943716371702978,-0.44908923983137405,1.528690115195893,1.596954717898872,-0.06697951150546735,-0.021243124338624353,0.021243124338624353,0.14528239733892379,0.06826460270297896
Google.gemini_1p5_flash_scratchpad_with_news,Google.gemini_1p5_flash_scratchpad_with_news_with_freeze_values,256,0.26328266885978835,0.20405539665238095,0.19033584832451497,0.1727396155202822,-0.12089515131831645,-0.10329891851408367,0.010093418286843073,-0.3341456311398655,1.3276175096200566,1.4790535126270046,-0.059227272207407394,-0.01759623280423278,0.01759623280423278,-0.3442390494267086,0.15143600300694793
Google.gemini_1p5_flash_zero_shot,Google.gemini_1p5_flash_zero_shot_with_freeze_values,256,0.25083502413421516,0.10707275085432098,0.20711118342151674,0.13228230996083504,-0.13767048641531823,-0.06284161295463651,-0.2100377887109534,-0.1495294138247137,1.427459191187784,1.4848308045385945,-0.14376227327989416,-0.0748288734606817,0.07482887346068172,0.060508374886239724,0.057371613350810424
Google.gemini_1p5_pro_scratchpad,Google.gemini_1p5_pro_scratchpad_with_freeze_values,256,0.2457272797567901,0.17374610730035275,0.17002906701940032,0.14183149735449738,-0.10058837001320182,-0.07239080034829883,0.12137602620080702,-0.01398365039351063,1.3037347843068887,1.3360894666034484,-0.07198117245643734,-0.028197569664902944,0.028197569664903,-0.13535967659431766,0.03235468229655969
Google.gemini_1p5_pro_scratchpad_with_news,Google.gemini_1p5_pro_scratchpad_with_news_with_freeze_values,256,0.23135512727072308,0.18445127447848325,0.16497413227513227,0.14492875837742503,-0.09553343526893375,-0.07548806137122652,0.08193332387836424,-0.045894420276552474,1.3137326186419716,1.3470952567907846,-0.046903852792239825,-0.020045373897707247,0.020045373897707233,-0.1278277441549167,0.03336263814881302
Google.gemini_1p5_pro_zero_shot,Google.gemini_1p5_pro_zero_shot_with_freeze_values,256,0.31001968055537915,0.2657474331435626,0.22023174603174606,0.2117687070903124,-0.1507910490255475,-0.14232801008411386,0.01031235498925071,-0.5896196079837493,1.3276807833650226,1.6316898003850413,-0.04427224741181657,-0.00846303894143366,0.008463038941433632,-0.5999319629730001,0.3040090170200187
Meta.llama_2_70b_scratchpad,Meta.llama_2_70b_scratchpad_with_freeze_values,256,0.34154113186719576,0.3240290989733686,0.24101625303534746,0.23565800486543986,-0.17157555602914892,-0.16621730785924138,-0.31250757592728495,-0.2636930477832877,1.3499643619945445,1.3546613070650542,-0.017512032893827134,-0.005358248169907598,0.005358248169907542,0.04881452814399723,0.004696945070509662
Meta.llama_2_70b_zero_shot,Meta.llama_2_70b_zero_shot_with_freeze_values,256,0.43138618733915346,0.3327778876650794,0.3327331609373721,0.29314174118183645,-0.2632924639311736,-0.22370104417563788,-0.19009248552629468,-0.3040172035876006,1.3200842978303102,1.3703098569785623,-0.09860829967407408,-0.03959141975553565,0.039591419755535734,-0.11392471806130591,0.05022555914825211
Meta.llama_3_70b_scratchpad,Meta.llama_3_70b_scratchpad_with_freeze_values,256,0.2746095613557319,0.16644655998959434,0.19549771252204587,0.14818559920634922,-0.12605701551584733,-0.07874490220015068,-0.26358425086728665,-0.43261872425125847,1.3807671516228284,1.5849493605371807,-0.10816300136613755,-0.04731211331569665,0.04731211331569665,-0.16903447338397182,0.20418220891435235
Meta.llama_3_70b_zero_shot,Meta.llama_3_70b_zero_shot_with_freeze_values,256,0.2189587996393298,0.12480739043456791,0.16398593121693122,0.13822237956070627,-0.09454523421073269,-0.06878168255450776,0.039707305546146786,-0.22786224056840185,1.3143040701608177,1.529467648580778,-0.09415140920476188,-0.02576355165622496,0.02576355165622493,-0.26756954611454864,0.21516357841996037
Meta.llama_3_8b_scratchpad,Meta.llama_3_8b_scratchpad_with_freeze_values,256,0.34969968864003526,0.28695694241375663,0.2494114307760141,0.2159596471972796,-0.17997073376981557,-0.14651895019108105,-0.004730240974644379,-0.19548785808594166,1.3293184981505963,1.358983698697042,-0.06274274622627862,-0.03345178357873452,0.03345178357873452,-0.19075761711129727,0.029665200546445725
Meta.llama_3_8b_zero_shot,Meta.llama_3_8b_zero_shot_with_freeze_values,256,0.24981675946119927,0.18237988099735453,0.18636544488536155,0.1459127723197047,-0.11692474787916303,-0.07647207531350618,0.0665708122267786,0.03764524758483407,1.3297553468301853,1.3116111347559032,-0.06743687846384475,-0.04045267256565685,0.04045267256565685,-0.028925564641944533,-0.018144212074282073
Mistral AI.mistral_8x22b_instruct_scratchpad,Mistral AI.mistral_8x22b_instruct_scratchpad_with_freeze_values,256,0.2651347632089947,0.18278325420670194,0.1881434814814815,0.1522480501741165,-0.11870278447528294,-0.08280735316791797,-0.04007586783834198,0.04988726786139261,1.3381323824638467,1.30749600467154,-0.08235150900229277,-0.035895431307365,0.03589543130736497,0.08996313569973459,-0.030636377792306657
Mistral AI.mistral_8x22b_instruct_scratchpad_with_news,Mistral AI.mistral_8x22b_instruct_scratchpad_with_news_with_freeze_values,256,0.2838244188400353,0.2556602003746032,0.1952356278659612,0.1916619225866039,-0.12579493085976268,-0.12222122558040532,0.05345975815792124,-0.14656899673726317,1.323153670125949,1.3737710898549569,-0.0281642184654321,-0.0035737052793572976,0.003573705279357353,-0.2000287548951844,0.050617419729007906
Mistral AI.mistral_8x22b_instruct_zero_shot,Mistral AI.mistral_8x22b_instruct_zero_shot_with_freeze_values,256,0.2384469786453263,0.18917265605731923,0.18996498052910055,0.19370743865095422,-0.120524283522902,-0.1242667416447557,-0.07513931402644125,-0.274438397203171,1.3651696281700056,1.4700385220292045,-0.04927432258800707,0.00374245812185367,-0.003742458121853698,-0.19929908317672973,0.10486889385919884
Mistral AI.mistral_8x7b_instruct_scratchpad,Mistral AI.mistral_8x7b_instruct_scratchpad_with_freeze_values,256,0.31909268210705466,0.28798140658730154,0.22788430335097,0.2246594822148516,-0.15844360634477148,-0.15521878520865304,0.0069184535945678045,-0.09226248267026124,1.3283682814077675,1.3554878927905443,-0.031111275519753123,-0.003224821136118411,0.0032248211361184387,-0.09918093626482904,0.027119611382776743
Mistral AI.mistral_8x7b_instruct_scratchpad_with_news,Mistral AI.mistral_8x7b_instruct_scratchpad_with_news_with_freeze_values,256,0.3464655440234568,0.3397146222419753,0.24822698412698413,0.2499353308439356,-0.1787862871207856,-0.1804946338377371,-0.35462271478171686,-0.4565959245973493,1.3627146600042588,1.3756499398137099,-0.0067509217814815115,0.0017083467169514699,-0.0017083467169514976,-0.10197320981563246,0.012935279809451083
Mistral AI.mistral_8x7b_instruct_zero_shot,Mistral AI.mistral_8x7b_instruct_zero_shot_with_freeze_values,256,0.25555292320652556,0.1485003600606702,0.20633066534391534,0.15433830037839996,-0.1368899683377168,-0.08489760337220144,0.0010775286463917198,-0.06153624714665663,1.3291174496240092,1.3655102947283817,-0.10705256314585537,-0.051992364965515375,0.05199236496551536,-0.06261377579304835,0.03639284510437246
Mistral AI.mistral_large_scratchpad,Mistral AI.mistral_large_scratchpad_with_freeze_values,256,0.27301783074021163,0.1871232380488536,0.19199445546737215,0.15131679571641313,-0.1225537584611736,-0.08187609871021462,-0.10632483795820008,-0.2421340365696573,1.353235580704074,1.4326599658912706,-0.08589459269135802,-0.04067765975095902,0.04067765975095898,-0.1358091986114572,0.07942438518719674
Mistral AI.mistral_large_scratchpad_with_news,Mistral AI.mistral_large_scratchpad_with_news_with_freeze_values,256,0.31440178392857143,0.2827964204626102,0.2210295524691358,0.2142528386243386,-0.1515888554629373,-0.1448121416181401,0.018280594919672426,-0.3344719731148961,1.3274593816716909,1.3974006982717857,-0.03160536346596121,-0.006776713844797194,0.006776713844797194,-0.35275256803456856,0.06994131660009484
Mistral AI.mistral_large_zero_shot,Mistral AI.mistral_large_zero_shot_with_freeze_values,256,0.2677681447825397,0.15462188617724867,0.20386731746031747,0.16242131964339795,-0.13442662045411893,-0.09298062263719944,-0.10461211205103804,-0.33034764512254366,1.3674347060256382,1.5609313483838632,-0.11314625860529101,-0.041445997816919516,0.04144599781691949,-0.22573553307150562,0.19349664235822495
OpenAI.gpt_3p5_turbo_0125_scratchpad,OpenAI.gpt_3p5_turbo_0125_scratchpad_with_freeze_values,256,0.38751952822451496,0.37548830561358026,0.28111552028218695,0.276831746031746,-0.2116748232759884,-0.2073910490255475,0.15636128001834396,-0.1163810464941512,1.3293649016321507,1.3379901207518141,-0.0120312226109347,-0.004283774250440964,0.004283774250440908,-0.27274232651249514,0.008625219119663408
OpenAI.gpt_3p5_turbo_0125_zero_shot,OpenAI.gpt_3p5_turbo_0125_zero_shot_with_freeze_values,256,0.41311164290317465,0.26290440116243385,0.33832486948853613,0.25290220699873134,-0.2688841724823376,-0.18346150999253283,0.0758436874720537,-0.034849949723376385,1.3119751908778716,1.353896162567899,-0.1502072417407408,-0.08542266248980479,0.08542266248980476,-0.11069363719543007,0.04192097169002729
OpenAI.gpt_4_scratchpad,OpenAI.gpt_4_scratchpad_with_freeze_values,256,0.23950821021640212,0.14054790361093475,0.1626100564373898,0.13936418757208532,-0.09316935943119124,-0.06992349056588679,0.2809583693547991,-0.15483752634480255,1.2530314673507867,1.4253792206394762,-0.09896030660546737,-0.02324586886530447,0.023245868865304456,-0.43579589569960164,0.17234775328868945
OpenAI.gpt_4_turbo_0409_scratchpad,OpenAI.gpt_4_turbo_0409_scratchpad_with_freeze_values,256,0.21244561170564374,0.08937052982839506,0.1510701058201058,0.11269696306749352,-0.0816294088139073,-0.043256266061295005,0.09703705057179705,-0.16670803429896155,1.3006556190728433,1.4704438008006773,-0.12307508187724868,-0.03837314275261228,0.0383731427526123,-0.2637450848707586,0.16978818172783394
OpenAI.gpt_4_turbo_0409_scratchpad_with_news,OpenAI.gpt_4_turbo_0409_scratchpad_with_news_with_freeze_values,256,0.20321692648906525,0.12512633124903,0.14469710890652557,0.12356553154482594,-0.07525641190032704,-0.0541248345386274,0.16804540727076386,-0.06649087610110874,1.271606436414996,1.3770446193383505,-0.07809059524003525,-0.021131577361699627,0.02113157736169964,-0.2345362833718726,0.1054381829233546
OpenAI.gpt_4_turbo_0409_zero_shot,OpenAI.gpt_4_turbo_0409_zero_shot_with_freeze_values,256,0.20317899402557318,0.08755776040687831,0.1571743657495591,0.11668289002833779,-0.08773366874336055,-0.047242193022139264,-0.02746403113212579,-0.14298425743567222,1.3413324077829152,1.458283050773705,-0.11562123361869488,-0.040491475721221304,0.04049147572122129,-0.11552022630354644,0.11695064299078983
OpenAI.gpt_4_zero_shot,OpenAI.gpt_4_zero_shot_with_freeze_values,256,0.2628985759514992,0.09228517383068782,0.19543676543209876,0.12179198657719426,-0.12599606842590025,-0.05235128957099572,-0.20245796412993217,-0.4088150876362689,1.3926884096407246,1.7187664785719674,-0.17061340212081136,-0.0736447788549045,0.07364477885490453,-0.20635712350633673,0.3260780689312428
OpenAI.gpt_4o_scratchpad,OpenAI.gpt_4o_scratchpad_with_freeze_values,256,0.20420177610529103,0.07495625112751322,0.1534202570723104,0.09988917199358069,-0.08397956006611189,-0.03044847498738216,-0.15216800155978935,-0.12407197178706882,1.3802218758615978,1.4388536984180784,-0.1292455249777778,-0.05353108507872972,0.05353108507872973,0.028096029772720535,0.058631822556480584
OpenAI.gpt_4o_scratchpad_with_news,OpenAI.gpt_4o_scratchpad_with_news_with_freeze_values,256,0.19341303345696648,0.0974070294707231,0.14915224559082893,0.11900390755252468,-0.07971154858463039,-0.04956321054632617,-0.01987671586663251,-0.4621524743437437,1.3378490468276645,1.7263541439897263,-0.09600600398624337,-0.030148338038304245,0.030148338038304225,-0.44227575847711115,0.38850509716206183
OpenAI.gpt_4o_zero_shot,OpenAI.gpt_4o_zero_shot_with_freeze_values,256,0.226363046440388,0.12470384036331571,0.17434737389770724,0.15362010999022602,-0.1049066768915087,-0.08417941298402751,-0.014730782584968854,-0.3310767733755387,1.3346816377795652,1.5659894848934528,-0.10165920607707228,-0.020727263907481225,0.020727263907481197,-0.31634599079056985,0.23130784711388763
Qwen.qwen_1p5_110b_scratchpad,Qwen.qwen_1p5_110b_scratchpad_with_freeze_values,256,0.24045386281146386,0.17222569021516757,0.1718424603174603,0.14917126745842946,-0.10240176331126179,-0.07973057045223093,-0.4252811540055584,-0.2884290819940429,1.460473844176693,1.4847063026364347,-0.0682281725962963,-0.022671192859030853,0.022671192859030853,0.1368520720115155,0.024232458459741757
Qwen.qwen_1p5_110b_scratchpad_with_news,Qwen.qwen_1p5_110b_scratchpad_with_news_with_freeze_values,256,0.26256872441216933,0.20583215623827159,0.1897872151675485,0.1656897512797619,-0.12034651816134999,-0.09624905427356337,-0.325402101696218,-0.37835759942328473,1.414865232715856,1.4927968286486097,-0.056736568173897745,-0.024097463887786608,0.02409746388778662,-0.0529554977270667,0.07793159593275378
Qwen.qwen_1p5_110b_zero_shot,Qwen.qwen_1p5_110b_zero_shot_with_freeze_values,256,0.25035060024638445,0.16268553448007053,0.18760074955908293,0.1621740165866177,-0.11816005255288436,-0.09273331958041918,0.02097706625984773,-0.07801560698074042,1.3222195096215126,1.3765097457323894,-0.08766506576631392,-0.025426732972465227,0.025426732972465185,-0.09899267324058815,0.0542902361108768
