fid,org,N,mean_brier,mean_brier_ref,edge,mean_abs_dev_from_ref,N_real,mean_brier_real,edge_real,brier_rank,edge_rank,beta_ref,beta_fc,se_fc,fc_rank
Anthropic.claude_3p5_sonnet_zero_shot,ForecastBench,567,0.17348199985890653,0.06944069700619854,-0.10404130285270799,0.21345126641040565,552,0.1714027063768116,-0.10375067517086442,49,49,1.3380355895606544,-0.021054214491277885,0.14940483516412897,35.0
Anthropic.claude_3p5_sonnet_zero_shot_with_freeze_values,ForecastBench,567,0.1329305236915848,0.06944069700619854,-0.06348982668538627,0.09818202971481481,567,0.1329305236915848,-0.06348982668538627,9,9,1.8064423445762827,-0.5154950421226548,0.20119569605420087,126.0
Google.gemini_1p5_flash_scratchpad,ForecastBench,567,0.18868148500881834,0.06944069700619854,-0.11924078800261984,0.24648754697054673,560,0.1879150035714286,-0.11766439727186016,60,60,1.528690115195893,-0.5943716371702978,0.19009505343273153,129.0
Google.gemini_1p5_flash_scratchpad_with_freeze_values,ForecastBench,567,0.167438360670194,0.06944069700619854,-0.09799766366399548,0.17950803546507937,563,0.16685177708703375,-0.09695513651458437,42,42,1.596954717898872,-0.44908923983137405,0.16429554112223266,118.0
Google.gemini_1p5_flash_scratchpad_with_news,ForecastBench,567,0.19033584832451497,0.06944069700619854,-0.12089515131831645,0.26328266885978835,563,0.18991194671403197,-0.12110326522827954,64,64,1.3276175096200566,0.010093418286843073,0.2048478059236044,27.0
Google.gemini_1p5_flash_scratchpad_with_news_with_freeze_values,ForecastBench,567,0.1727396155202822,0.06944069700619854,-0.10329891851408367,0.20405539665238095,561,0.17191330124777185,-0.10384452347330013,47,47,1.4790535126270046,-0.3341456311398655,0.16750600239228047,103.0
Google.gemini_1p5_flash_superforecaster_with_news_1,ForecastBench,567,0.24413771384479718,0.06944069700619854,-0.17469701683859865,0.3052675116202822,563,0.24409606349911192,-0.17420367353217195,109,109,1.4029983503779866,-0.2720390485174038,0.14071189203674392,92.0
Google.gemini_1p5_flash_superforecaster_with_news_2,ForecastBench,567,0.2363187389770723,0.06944069700619854,-0.1668780419708738,0.32204983945202825,341,0.22725139296187682,-0.1478379795930486,103,103,1.4207999224086911,-0.35272951891195103,0.22281501381234226,106.0
Google.gemini_1p5_flash_superforecaster_with_news_3,ForecastBench,567,0.2099462557319224,0.06944069700619854,-0.14050555872572387,0.28580045112151675,566,0.20987548939929326,-0.14116925511019257,85,85,1.3483846229263317,-0.10149978175496836,0.19354912588972262,55.0
Google.gemini_1p5_flash_zero_shot,ForecastBench,567,0.20711118342151674,0.06944069700619854,-0.13767048641531823,0.25083502413421516,559,0.2064973899821109,-0.13693812776952044,82,82,1.427459191187784,-0.2100377887109534,0.12563666771290355,83.0
Google.gemini_1p5_flash_zero_shot_with_freeze_values,ForecastBench,567,0.13228230996083504,0.06944069700619854,-0.06284161295463651,0.10707275085432098,566,0.13207432817631354,-0.06252861227081079,8,8,1.4848308045385945,-0.1495294138247137,0.11930329217399982,69.0
Google.gemini_1p5_pro_scratchpad,ForecastBench,567,0.17002906701940032,0.06944069700619854,-0.10058837001320182,0.2457272797567901,559,0.16888458139534884,-0.09855823500780042,43,43,1.3037347843068887,0.12137602620080702,0.2097213270624895,7.0
Google.gemini_1p5_pro_scratchpad_with_freeze_values,ForecastBench,567,0.14183149735449738,0.06944069700619854,-0.07239080034829883,0.17374610730035275,558,0.14008684408602154,-0.06957222836690938,14,14,1.3360894666034484,-0.01398365039351063,0.1974187682998958,32.0
Google.gemini_1p5_pro_scratchpad_with_news,ForecastBench,567,0.16497413227513227,0.06944069700619854,-0.09553343526893375,0.23135512727072308,557,0.1634476355475763,-0.09388201598757921,37,37,1.3137326186419716,0.08193332387836424,0.19700619088292282,11.0
